"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"*","none","URL video<#>Gracias por contactar a Dry Cleaners Panamá 👗👚👔👖,\nsolicitamos envíes palabra (DRY) para activar asistencia virtual.","all","1","2","c","","","","","0","","","","","","","","seconds","0","0"
"dry","none","👋<#>¡Hola! %first_name% muy buen día🌞<#>Un cordial saludo, feliz %day_of_week%<#>Te doy la bienvenida a *DRY CLEANERS PANAMÁ* 👗👚👔👖 la franquicia de lavandería profesional, que puso jaque mate al coronavirus COVID-19<#>mi nombre es Dolly 👦, tu asistente virtual y estoy aquí para ayudarte en lo que necesites 👗👚👔👖, con las siguientes opciones:<#>DRY1 👗👚👔👖 : PRODUCTOS & SERVICIOS\nDRY2 👗👚👔👖 : PAGOS\nDRY3 👗👚👔👖 : DELIVERY\nDRY4 👗👚👔👖 : CONTACTAR ASESOR PERSONAL\nDRY5 👗👚👔👖 : LISTA DE PRECIO\nDRY6 👗👚👔👖 :  HORARIO DE ATENCIÓN\nDRY7 👗👚👔👖 : PARQUEADERO GRATIS\nDRY8 👗👚👔👖 : MEMBRESIA PLATINUM\nDRY9 👗👚👔👖 : QUIERO UNA FRANQUICIA \nDRY10  👗👚👔👖: MODELOS DE FRANQUICIAS\nDRY0 👗👚👔👖 :  MENÚ PRINCIPAL\n\nEnvíe la palabra DRY1 si desea realizar un pedido o una orden de trabajo.","all","3","3","c","","","","","0","","","","","","","","seconds","0","0"
"dry0","none","MENÚ PRINCIPAL\n\nDRY1 👗👚👔👖 : PRODUCTOS & SERVICIOS\nDRY2 👗👚👔👖 : PAGOS\nDRY3 👗👚👔👖 : DELIVERY\nDRY4 👗👚👔👖 : ASESOR PERSONAL\nDRY5 👗👚👔👖 : LISTA DE PRECIO\nDRY6 👗👚👔👖 : HORARIO DE ATENCIÓN\nDRY7 👗👚👔👖 : PARQUEADERO GRATIS\nDRY8 👗👚👔👖 : MEMBRESIA PLATINUM\nDRY9 👗👚👔👖 : QUIERO UNA FRANQUICIA \nDRY10  👗👚👔👖: MODELOS FRANQUICIAS\nDRY0 👗👚👔👖 :  MENÚ PRINCIPAL\n\nEnvíe la palabra DRY1 si desea realizar un pedido o una orden de trabajo.","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"dry1","none","Selecciona la opción del tipo de servicio que quieres:<#>(D) 👗👚👔👖: Lavandería Profesional en AGUA\n(C) 👗👚👔👖: Dry Cleaning ( Limpieza en Seco)\n(P) 👗👚👔👖: Plancha<#>Si desea saber sobre Lavandería Profesional en Agua, envíe la letra D","all","1","1","c","","","","","0","","","","","","","","seconds","0","0"
"d","none","Felicidades %first_name% 🖐 ha elegido la opción (D) 👗👚👔👖: Lavandería Profesional en AGUA<#>Ahora, debe seleccionar 👗👚👔👖 la opción del tipo de servicio que requiere:\nA1 👗👚👔👖: Lavado (Agua) y Secado\nA2 👗👚👔👖: Lavado (Agua), Secado y Doblado\nA3 👗👚👔👖: Lavado (Agua), Secado y Planchado<#>Si desea solicitar el servicio A1 👗👚👔👖: Lavado (Agua) y Secado. Solo debe escribir la palabra A1","all","2","2","c","","","","","0","","","","","","","","seconds","0","0"
"a1","none","En DRY CLEANERS PANAMÁ 👗 👚👔👖, sabemos que lo que menos tienes, es tiempo para lavandería, te va a encantar el servicio (A1) 👗👚👔👖: Lavado (Agua) y Secado seleccionado, amamos lo que hacemos …, y lo hacemos muy bien<#>👗👚👔👖 Espera, enviando  opción (A)<#>(A) 👗👚👔👖: Lavado (Agua) y Secado: mínimo 20 piezas precio de $ 5,oo Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante).\n\nRecuerda que:\n*La pieza adicional en cualquier promoción, tiene un precio $ 0,60*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>👗👚👔👖 Espera, enviando  opción (B)<#>(B) 👗👚👔👖: Lavado (Agua) y Secado: 30 a 40 piezas por $ 10,oo Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante) + anti germenes (anti Virus, Bacterias, Hongos). Con normas de bio seguridad antes de cada proceso de lavado.\n\nRecuerda que:\n*La pieza adicional en cualquier promoción, tiene un precio $ 0,60*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>%first_name% elige cual deseas❓ y llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"a2","none","En DRY CLEANERS PANAMÁ 👗 👚👔👖, sabemos que lo que menos tienes, es tiempo para lavandería, te va a encantar el servicio (A2) 👗👚👔👖: Lavado (Agua), Secado y Doblado seleccionado, amamos lo que hacemos …, y lo hacemos muy bien<#>👗👚👔👖 Espera, enviando  opción (A)<#>(A2) 👗👚👔👖: Lavado (Agua), Secado y Doblado: mínimo 20 por $ 6,50 Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante)\n\nAdemás incluye productos anti gérmenes (anti Virus 🦠, Bacterias, Hongos) y  normas de bio seguridad antes de cada proceso de lavado.\n\nRecuerda que:\n*La pieza👖👕 adicional en cualquier promoción, tiene un precio $ 0,60*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>👗👚👔👖 Espera, enviando  opción (B)<#>(B2) 👗👚👔👖: Lavado (Agua), Secado y Doblado: mínimo de 30 a 40 por $ 11,50 Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante)\n\nAdemás incluye productos anti germenes (anti Virus 🦠, Bacterias, Hongos) y normas de bio seguridad antes de cada proceso de lavado.\n\nRecuerda que:\n*La pieza 👕👖adicional en cualquier promoción, tiene un precio $ 0,60*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*<#>%first_name% elige cual deseas❓ y llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"a3","none","En DRY CLEANERS PANAMÁ 👗 👚👔👖, sabemos que lo que menos tienes, es tiempo para lavandería, te va a encantar el servicio (A3) 👗👚👔👖: Lavado (Agua), Secado y Planchado. seleccionado, amamos lo que hacemos …, y lo hacemos muy bien<#>👗👚👔👖 Espera, enviando  opción (A)<#>(A3) 👗👚👔👖: Lavado (Agua), Secado y Planchado: mínimo de 20 piezas por $ 24,00 Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante)\n\nAdemás incluye productos anti germenes (anti Virus 🦠, Bacterias, Hongos) y normas de bio seguridad antes de cada proceso de lavado.\n\nRecuerda que:\n*La pieza 👖👕adicional en cualquier promoción, tiene un precio $ 0,90*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*\n*No incluye gancho<#>👗👚👔👖 Espera, enviando  opción (B)<#>(B3) 👗👚👔👖: Lavado (Agua), Secado y Planchado: mínimo de 40 piezas por $ 41,50 Balboas. Incluye jabón (detergente industrial + neutralizante (suavizante)\n\nAdemás incluye productos anti germenes (anti Virus 🦠, Bacterias, Hongos) y normas de bio seguridad antes de cada proceso de lavado.\n\nRecuerda que:\n*La pieza 👕👖adicional en cualquier promoción, tiene un precio $ 0,90*\n*No se acepta ropa interior, sabanas, colchas, toallas en esta promoción*\n*No incluye gancho<#>%first_name% elige cual deseas❓ y llama ahora al 📞 385 2383 e iremos a buscar 🚚 tu ropa 👔👕👖👗 dónde te encuentres<#>%first_name% recuerda la opción DRY0 para acceder al menú principal","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c","none","Felicidades %first_name% 🖐 ha elegido la opción (C) 👗👚👔👖: Dry Cleaning ( Limpieza en Seco)<#>Ahora, debe seleccionar 👗👚👔👖 la opción del tipo de servicio que requiere:\n\nC1: Lista de Precios Dry Cleaning PDF\nC2: Precios COMBO x MES\nC3: Promociones<#>Si desea solicitar 👖👕👗👔el servicio C1: Lista de Precios Dry Cleaning PDF. Solo debe escribir la palabra C1","all","3","4","c","","","","","0","","","","","","","","seconds","0","0"
"c1","none","Te va a encantar %first_name%, porque en *DRY CLEANERS PANAMÁ* 👗👚👔👖 amamos lo que hacemos …, y lo hacemos muy bien, que a todos les encanta. Además al mejor precio.<#>Consulte LISTA OFICIAL de precios en el link: https://bit.ly/2YsurUa","all","2","2","c","","","","","0","","","","","","","","seconds","0","0"
